timestamp_utc,family,source_path,sheet_path,combined_contact,frames_written,components_found,failures_json
2026-06-24T22:40:58.299979+00:00,hamster,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_057d33ee512967d6016a3c5b8cdfa48191ae2884ad99f710cf.png,docs/art-source/hamster/motion-source/raw-imagegen/set00/set00-components-ig_057d33ee512967d6016a3c5b8cdfa48191ae2884ad99f710cf-raw.png,docs/art-source/hamster/motion-source/review-sheets/hamster-set00-components-contact.png,49,49,[]
2026-06-24T22:42:22.687828+00:00,hamster,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0d196b7621edb01c016a3c5d0410e88191b77ef0d501721263.png,docs/art-source/hamster/motion-source/raw-imagegen/set00/set00-components-ig_0d196b7621edb01c016a3c5d0410e88191b77ef0d501721263-raw.png,docs/art-source/hamster/motion-source/review-sheets/hamster-set00-components-contact.png,13,24,[]
2026-06-24T22:44:05.167988+00:00,macaroni_mouse,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_01d5613bcb360562016a3c5d6659688191b771741d7c05dc8f.png,docs/art-source/macaroni-mouse/motion-source/raw-imagegen/set00/set00-components-ig_01d5613bcb360562016a3c5d6659688191b771741d7c05dc8f-raw.png,docs/art-source/macaroni-mouse/motion-source/review-sheets/macaroni_mouse-set00-components-contact.png,62,66,[]
2026-06-24T22:45:58.561362+00:00,sugar_glider,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_091f4f5a3b518aa3016a3c5dc025ac8191827903af07ff43db.png,docs/art-source/sugar-glider/motion-source/raw-imagegen/set00/set00-components-ig_091f4f5a3b518aa3016a3c5dc025ac8191827903af07ff43db-raw.png,docs/art-source/sugar-glider/motion-source/review-sheets/sugar_glider-set00-components-contact.png,55,55,[]
2026-06-24T22:47:54.449655+00:00,sugar_glider,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0c61473a250828bb016a3c5e35e104819196ecbc8823cc78d0.png,docs/art-source/sugar-glider/motion-source/raw-imagegen/set00/set00-components-ig_0c61473a250828bb016a3c5e35e104819196ecbc8823cc78d0-raw.png,docs/art-source/sugar-glider/motion-source/review-sheets/sugar_glider-set00-components-contact.png,7,15,[]
2026-06-24T22:50:29.613580+00:00,rabbit,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_062219995ada5cd0016a3c5eac05488191ae4bc2fdd192e873.png,docs/art-source/rabbit/motion-source/raw-imagegen/set00/set00-components-ig_062219995ada5cd0016a3c5eac05488191ae4bc2fdd192e873-raw.png,docs/art-source/rabbit/motion-source/review-sheets/rabbit-set00-components-contact.png,53,53,[]
2026-06-24T22:52:43.178673+00:00,rabbit,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_09e5890ab2cc4dc0016a3c5f4611f48191bfb4359b4ba76b3c.png,docs/art-source/rabbit/motion-source/raw-imagegen/set00/set00-components-ig_09e5890ab2cc4dc0016a3c5f4611f48191bfb4359b4ba76b3c-raw.png,docs/art-source/rabbit/motion-source/review-sheets/rabbit-set00-components-contact.png,9,18,[]
